invoice_number,order_id,product_id,line_number,quantity,unit_price,sales_amount,discount_amount,cost_amount,margin_amount
329620,124046,61857,213000,3,140.8266667,422.48,433.09,247.28,175.2
329620,124046,22680,42000,24,18.11708333,434.81,445.75,212.15,222.66
329620,124046,61859,215000,4,115.015,460.06,471.62,275.37,184.69
329620,124046,39190,170000,5,92.344,461.72,473.33,384.18,77.54
329620,124046,61145,206000,3,158.8233333,476.47,488.45,402.36,74.11
329620,124046,63004,227000,4,123.45,493.8,506.2,276.07,217.73
329620,124046,38772,161000,8,62.055,496.44,508.92,422.13,74.31
329620,124046,39850,179000,2,207.78,415.56,519.5,411.45,4.11
329620,124046,39459,234000,4,115.9,463.6,524.68,262.93,200.67
329620,124046,39461,235000,4,115.9,463.6,524.68,327.73,135.87
329620,124046,39185,169000,4,129.94,519.76,532.84,361.79,157.97
329620,124046,39680,176000,4,129.94,519.76,532.84,406.1,113.66
329620,124046,61854,210000,4,140.825,563.3,577.46,331.0,232.3
329620,124046,61860,238000,4,140.825,563.3,577.46,317.4,245.9
329620,124046,32966,124000,8,72.66125,581.29,595.91,454.3,126.99
329620,124046,13047,18001,58,10.15724138,589.12,603.94,401.78,187.34
329620,124046,60900,201000,2,307.965,615.93,631.41,281.65,334.28
329620,124046,13910,20000,12,53.25,639.0,655.08,382.87,256.13
329620,124046,61856,212000,6,115.015,690.09,707.43,422.31,267.78
329620,124046,26370,66000,7,101.3557143,709.49,727.33,402.76,306.73
329620,124046,29070,100000,8,89.595,716.76,734.76,250.72,466.04
329620,124046,32963,123000,12,67.80833333,813.7,834.14,635.2,178.5
329620,124046,29312,106000,40,21.81575,872.63,894.57,529.12,343.51
329620,124046,37609,148000,4,240.1425,960.57,984.71,582.28,378.29
329620,124046,62947,222000,6,160.5766667,963.46,987.68,780.76,182.7
329620,124046,39105,168000,13,67.61230769,878.96,994.73,683.69,195.27
329620,124046,62672,221000,8,110.23875,881.91,998.09,323.33,558.58
329620,124046,30092,112000,7,139.7585714,978.31,1002.9,539.67,438.64
329620,124046,62027,218000,11,89.65363636,986.19,1010.97,789.56,196.63
329620,124046,63003,226000,8,123.44875,987.59,1012.41,547.2,440.39
329620,124046,37606,147000,5,201.724,1008.62,1033.98,575.7,432.92
329620,124046,38050,151000,7,148.7457143,1041.22,1067.39,754.4,286.82
329620,124046,23162,43000,7,152.0057143,1064.04,1090.77,766.27,297.77
329620,124046,63002,225000,10,123.448,1234.48,1265.52,581.85,652.63
329620,124046,21390,35000,24,51.69041667,1240.57,1271.75,635.42,605.15
329620,124046,38809,162000,12,95.21,1142.52,1293.0,788.78,353.74
329620,124046,37605,146000,8,167.86,1342.88,1376.64,436.28,906.6
329620,124046,5742,2000,24,56.93916667,1366.54,1400.9,465.24,901.3
329620,124046,30500,118000,5,313.12,1565.6,1604.95,1360.28,205.32
329620,124046,11690,17000,17,94.97647059,1614.6,1655.18,567.59,1047.01
329620,124046,28761,95000,24,77.90083333,1869.62,1916.62,1145.88,723.74
329620,124046,28771,96000,24,77.90083333,1869.62,1916.62,1280.1,589.52
329620,124046,37170,142000,20,94.2405,1884.81,1932.19,852.64,1032.17
329620,124046,29394,107000,36,60.80555556,2189.0,2244.04,1647.15,541.85
329620,124046,31875,120000,4,568.08,2272.32,2329.4396,1257.08,1015.24
329620,124046,28751,94000,48,56.02583333,2689.24,2756.84,1961.05,728.19
329620,124046,601700,232000,24,102.8729167,2468.95,2767.37,1437.61,1031.34
329620,124046,29260,105001,10,274.86,2748.6,2817.7,1662.97,1085.63
329620,124046,29255,104000,12,250.7233333,3008.68,3084.32,1954.71,1053.97
329620,124046,45880,182000,10,379.11,3791.1,3886.4,2820.53,970.57
329620,124046,63600,237000,4,975.2425,3900.97,3999.03,2059.09,1841.88
329620,124046,63253,229000,24,172.7341667,4145.62,4249.82,2399.6,1746.02
329620,124046,29071,101000,60,89.59383333,5375.63,5510.77,1791.84,3583.79
329620,124046,38826,163000,60,110.1455,6608.73,6774.87,2227.0,4381.73
329620,124046,604700,233000,24,271.115,6506.76,7293.24,4875.21,1631.55
329620,124046,26502,68000,20,463.9535,9279.07,9512.33,5338.89,3940.18
329620,124046,28500,92000,18,522.7688889,9409.84,9646.4018,5463.68,3946.16
329620,124046,47801,183000,12,803.8166667,9645.8,9888.28,5708.98,3936.82
329620,124046,20910,32000,30,407.3596667,12220.79,12528.01,7646.19,4574.6
329620,124046,28401,90000,36,477.2216667,17179.98,17611.86,9801.88,7378.1
329620,124046,20990,33000,400,49.87305,19949.22,20450.78,11742.64,8206.58
329620,124046,27550,79000,42,535.5733333,22494.08,23059.54,12454.94,10039.14
329620,124046,17801,28000,48,706.731875,33923.13,34775.91,21585.21,12337.92
329620,124046,67550,240000,80,629.63575,50370.86,51637.14,28205.13,22165.73
329638,124184,61750,2000,1,463.03,463.03,340.83,363.01,100.02
329641,124192,37673,13000,2,109.005,218.01,196.99,88.14,129.87
329641,124192,37170,10000,3,100.2566667,300.77,271.78,127.9,172.87
329641,124192,38826,14000,3,117.1766667,351.53,317.65,111.35,240.18
329641,124192,61145,17000,3,168.96,506.88,458.04,402.36,104.52
329641,124192,29758,7000,2,270.61,541.22,489.06,307.8,233.42
329641,124192,37574,12000,5,151.454,757.27,684.28,465.89,291.38
329641,124192,28401,4000,2,507.68,1015.36,917.52,544.55,470.81
329641,124192,27550,3000,2,569.76,1139.52,1029.7,593.09,546.43
329641,124192,37441,11000,2,658.845,1317.69,1190.6898,677.0,640.69
329641,124192,17801,1000,4,751.8425,3007.37,2717.55,1798.77,1208.6
329644,124197,239782,1000,1,248.14,248.14,224.22,118.71,129.43
329651,124213,29071,13000,3,98.32333333,294.97,249.35,89.59,205.38
329651,124213,37574,17000,3,156.2366667,468.71,396.22,279.53,189.18
329659,124226,60900,1000,1,327.62,327.62,296.05,140.82,186.8
329668,124240,34862,2000,2,252.68,505.36,451.76,191.74,313.62
329672,124248,31681,1000,2,158.61,317.22,233.52,117.45,199.77
329676,124255,27550,1000,1,832.98,832.98,251.63,296.55,536.43
329679,124259,63559,2000,2,156.54,313.08,282.92,190.29,122.79
329679,124259,62616,1000,3,156.5433333,469.63,424.37,286.04,183.59
329681,124266,31875,2000,1,604.34,604.34,546.0999,314.27,290.07
329686,124272,26502,3000,1,493.56,493.56,446.01,266.94,226.62
329693,124289,30285,1000,1,733.8,733.8,593.25,470.77,263.03
329460,121807,33503,3000,2,527.515,1055.03,1004.93,613.64,441.39
329460,121807,67550,11000,4,653.055,2612.22,2488.18,1410.26,1201.96
329461,122061,386312,2000,2,790.26,1580.52,1505.48,959.57,620.95
329461,122061,284012,11000,6,495.085,2970.51,2829.45,1675.2,1295.31
329463,123158,39400,8000,6,86.87,521.22,609.9,376.55,144.67
329463,123158,37574,9000,6,132.8533333,797.12,932.74,559.06,238.06
329465,123345,38076,21000,3,291.25,873.75,772.23,346.89,526.86
329466,123875,20990,3000,5,55.848,279.24,225.76,146.78,132.46
329466,123875,32720,5000,11,28.19545455,310.15,250.74,84.73,225.42
329466,123875,29071,4000,4,100.33,401.32,324.44,119.46,281.86
329466,123875,17801,2000,1,791.41,791.41,639.82,449.69,341.72
329466,123875,11690,1000,16,106.35625,1701.7,1375.74,534.2,1167.5
329468,123628,33503,2000,2,527.515,1055.03,1004.93,613.64,441.39
329468,123628,800600,1000,75,330.9156,24818.67,27287.58,18592.19,6226.48
329473,121637,37574,1000,24,126.5183333,3036.44,126.52,2236.26,800.18
329475,121872,36214,1000,15,50.88,763.2,31.8,554.5,208.7
329480,123344,38006,13000,2,527.915,1055.83,1150.17,665.54,390.29
329481,123363,30500,30000,1,336.61,336.61,297.5,272.06,64.55
329481,123363,63654,63000,2,274.79,549.58,485.72,168.18,381.4
329481,123363,38076,50000,6,291.2516667,1747.51,1544.45,693.77,1053.74
329482,123744,37843,29000,10,22.204,222.04,268.76,117.29,104.75
329482,123744,60013,34000,15,22.20333333,333.05,403.15,300.02,33.03
329482,123744,62686,53000,15,22.45266667,336.79,407.66,208.31,128.48
329482,123744,15236,1000,35,16.76114286,586.64,710.11,156.45,430.19
329482,123744,61484,46000,25,23.47,586.75,710.25,381.07,205.68
329482,123744,62871,24000,60,9.9435,596.61,722.19,298.31,298.3
329482,123744,62616,51000,5,134.812,674.06,815.94,476.73,197.33
329482,123744,36030,21000,70,9.717428571,680.22,823.38,341.16,339.06
329482,123744,39400,31000,15,85.28466667,1279.27,1548.53,941.38,337.89
329482,123744,36015,20000,100,16.761,1676.1,2028.9,581.53,1094.57
329482,123744,28929,13000,100,16.9014,1690.14,2045.86,742.72,947.42
329483,123887,28739,2000,3,83.74666667,251.24,222.04,177.96,73.28
329483,123887,26502,23000,2,498.765,997.53,881.61,533.89,463.64
329483,123887,31875,21000,2,610.7,1221.4,1079.4798,628.54,592.86
329483,123887,37441,12000,2,665.775,1331.55,1176.8298,677.0,654.55
329483,123887,37441,20000,3,665.7766667,1997.33,1765.2397,1015.51,981.82
329484,124265,38842,18000,2,103.475,206.95,178.87,107.15,99.8
329484,124265,38894,19000,2,137.49,274.98,237.7,98.98,176.0
329484,124265,7536,2000,2,147.37,294.74,254.76,111.0,183.74
329484,124265,24336,12000,5,117.996,589.98,509.97,174.09,415.89
329485,122888,31400,1000,648,34.00501543,22035.25,918.1412,16718.08,5317.17
329486,124211,220332,2000,10,65.555,655.55,517.75,464.47,191.08
329486,124211,28500,1000,60,570.2496667,34214.98,27023.162,18212.27,16002.71
329488,121638,39513,4000,5,40.292,201.46,8.39,167.19,34.27
329488,121638,37574,1000,12,126.5183333,1518.22,63.26,1118.13,400.09
329489,123769,62871,16000,25,9.9436,248.59,300.91,124.3,124.29
329489,123769,28929,11000,25,16.9012,422.53,511.47,185.68,236.85
329489,123769,39400,21000,5,85.284,426.42,516.18,313.79,112.63
329489,123769,36015,13000,150,16.761,2514.15,3043.35,872.3,1641.85
329490,124214,11690,1000,6,106.3566667,638.14,515.9,200.33,437.81
329490,124214,29071,3000,10,100.329,1003.29,811.11,298.64,704.65
329491,121769,63654,3000,1,274.79,274.79,242.86,54.79,220.0
329492,121863,63891,3000,1,1325.14,1325.14,1435.56,712.36,612.78
329493,121871,63654,46000,1,255.61,255.61,262.04,84.09,171.52
329494,121873,63654,68000,1,255.61,255.61,262.04,84.09,171.52
329501,122108,39529,47000,3,124.6,373.8,367.41,256.05,117.75
329503,122495,38076,31000,6,288.2183333,1729.31,1562.65,693.77,1035.54
329505,122938,34901,10000,20,23.707,474.14,563.46,304.05,170.09
329506,123384,30500,8000,2,333.105,666.21,602.01,544.11,122.1
329508,123534,38076,11000,2,294.285,588.57,508.75,231.26,357.31
329512,123805,47550,17000,2,622.565,1245.13,1076.27,625.89,619.24
329512,123805,47801,2000,2,873.125,1746.25,1509.43,951.5,794.75
329512,123805,17801,16000,3,767.67,2303.01,1990.68,1349.08,953.93
329512,123805,17801,9000,4,767.67,3070.68,2654.24,1798.77,1271.91
329513,123918,63654,27000,1,271.93,271.93,245.72,84.09,187.84
329513,123918,29071,16000,5,95.312,476.56,430.64,149.32,327.24
329513,123918,67550,28000,1,669.82,669.82,605.28,352.56,317.26
329513,123918,28401,12000,2,507.68,1015.36,917.52,544.55,470.81
329513,123918,28500,13000,2,556.14,1112.28,1005.0802,607.08,505.2
329513,123918,27550,11000,2,569.76,1139.52,1029.7,593.09,546.43
329513,123918,20990,6000,50,53.0566,2652.83,2397.17,1467.83,1185.0
329514,123962,26361,15000,1,233.41,233.41,206.29,134.67,98.74
329514,123962,60448,42000,1,262.16,262.16,231.69,207.23,54.93
329514,123962,62672,47000,2,118.51,237.02,232.98,80.83,156.19
329514,123962,29255,24000,1,269.54,269.54,238.21,162.89,106.65
329514,123962,38790,36000,2,124.6,249.2,244.94,163.86,85.34
329514,123962,63234,50000,1,331.78,331.78,293.22,275.56,56.22
329514,123962,38826,39000,3,118.41,355.23,313.95,111.35,243.88
329514,123962,24702,12000,1,423.75,423.75,374.52,269.6,154.15
329514,123962,11690,5000,5,102.102,510.51,451.19,166.94,343.57
329514,123962,62510,46000,1,689.57,689.57,609.43,375.57,314.0
329515,124025,29754,12000,1,255.22,255.22,230.62,158.18,97.04
329515,124025,30092,14000,2,148.68,297.36,268.7,154.19,143.17
329515,124025,37574,27000,2,151.455,302.91,273.71,186.35,116.56
329515,124025,32966,19000,4,77.3,309.2,279.4,227.15,82.05
329515,124025,29394,10000,5,64.686,323.43,292.27,228.77,94.66
329515,124025,29312,9000,14,23.20785714,324.91,293.61,185.19,139.72
329515,124025,29753,11000,3,116.96,350.88,317.07,275.1,75.78
329515,124025,37170,24000,4,100.255,401.02,362.38,170.53,230.49
329515,124025,38050,31000,3,158.24,474.72,428.97,323.31,151.41
329515,124025,31875,17000,2,604.34,1208.68,1092.1998,628.54,580.14
329515,124025,11690,2000,12,101.0383333,1212.46,1095.62,400.65,811.81
329515,124025,37441,26000,2,658.845,1317.69,1190.6898,677.0,640.69
329515,124025,28500,8000,3,556.1366667,1668.41,1507.6303,910.61,757.8
329515,124025,67550,45000,13,669.8253846,8707.73,7868.57,4583.33,4124.4
329517,124055,13910,9000,4,53.25,213.0,218.36,127.62,85.38
329517,124055,37172,46000,2,108.275,216.55,221.99,122.93,93.62
329517,124055,29312,35000,10,21.816,218.16,223.64,132.28,85.88
329517,124055,28751,28000,4,56.025,224.1,229.74,163.42,60.68
329517,124055,62672,66000,2,110.24,220.48,249.52,80.83,139.65
329517,124055,38786,54000,2,113.01,226.02,255.8,93.43,132.59
329517,124055,21390,14000,5,51.69,258.45,264.95,132.38,126.07
329517,124055,62027,65000,3,89.65333333,268.96,275.72,215.33,53.63
329517,124055,32963,40000,4,67.8075,271.23,278.05,211.73,59.5
329517,124055,29260,34000,1,274.86,274.86,281.77,166.3,108.56
329517,124055,11690,7000,3,94.97666667,284.93,292.09,100.16,184.77
329517,124055,32966,43000,4,72.6625,290.65,297.95,227.15,63.5
329517,124055,61859,77000,3,115.0133333,345.04,353.72,206.53,138.51
329517,124055,61855,63000,6,60.58,363.48,372.6,145.5,217.98
329517,124055,5742,1000,8,56.93875,455.51,466.97,155.08,300.43
329517,124055,62947,78000,3,160.5766667,481.73,493.84,390.38,91.35
329517,124055,63004,76000,4,123.45,493.8,506.2,276.07,217.73
329517,124055,26370,20000,5,101.356,506.78,519.52,287.69,219.09
329517,124055,61860,83000,4,140.825,563.3,577.46,317.4,245.9
329517,124055,61857,82000,5,140.824,704.12,721.83,412.13,291.99
329517,124055,63003,75000,6,123.4483333,740.69,759.31,410.4,330.29
329517,124055,61854,81000,6,140.825,844.95,866.19,496.51,348.44
329517,124055,29071,33000,10,89.594,895.94,918.46,298.64,597.3
329517,124055,63600,73000,1,975.24,975.24,999.76,514.77,460.47
329517,124055,48500,58000,2,560.34,1120.68,1148.86,641.53,479.15
329517,124055,601700,71000,10,102.873,1028.73,1153.07,599.0,429.73
329517,124055,37170,44000,12,94.24083333,1130.89,1159.31,511.58,619.31
329517,124055,31875,38000,2,568.08,1136.16,1164.7198,628.54,507.62
329517,124055,37606,48000,6,201.725,1210.35,1240.77,690.84,519.51
329517,124055,63002,68000,10,123.448,1234.48,1265.52,581.85,652.63
329517,124055,37609,49000,6,240.14,1440.84,1477.08,873.42,567.42
329517,124055,63253,69000,10,172.734,1727.34,1770.76,999.83,727.51
329517,124055,26502,22000,4,463.9525,1855.81,1902.47,1067.78,788.03
329517,124055,37441,47000,3,619.3133333,1857.94,1904.6297,1015.51,842.43
329517,124055,67550,84000,3,629.6366667,1888.91,1936.39,1057.69,831.22
329517,124055,20910,12000,5,407.36,2036.8,2088.0,1274.37,762.43
329517,124055,28500,27000,4,522.7675,2091.07,2143.6504,1214.15,876.92
329517,124055,604700,80000,10,271.115,2711.15,3038.85,2031.34,679.81
329517,124055,20990,13000,60,49.87316667,2992.39,3067.61,1761.4,1230.99
329517,124055,17801,11000,5,706.73,3533.65,3622.5,2248.46,1285.19
329517,124055,28401,26000,8,477.2225,3817.78,3913.74,2178.2,1639.58
329517,124055,47801,57000,6,803.8166667,4822.9,4944.14,2854.49,1968.41
329517,124055,27550,24000,12,535.5725,6426.87,6588.45,3558.56,2868.31
329517,124055,47550,56000,13,573.1461538,7450.9,7638.2,4068.26,3382.64
329521,124109,37441,1000,1,693.51,693.51,560.6799,338.5,355.01
329533,124148,34701,1000,2,101.96,203.92,184.28,62.47,141.45
329542,124174,601700,21000,3,115.2,345.6,308.94,179.7,165.9
329542,124174,29071,12000,4,100.33,401.32,324.44,119.46,281.86
329542,124174,39116,19000,2,465.615,931.23,752.85,628.1,303.13
329542,124174,604700,22000,3,303.6,910.8,814.2,609.4,301.4
329542,124174,20910,8000,5,456.17,2280.85,1843.95,1274.37,1006.48
329544,124177,64820,1000,2,784.975,1569.95,1269.2166,706.18,863.77
329548,124191,26370,4000,2,107.825,215.65,194.87,115.07,100.58
329548,124191,37780,12000,2,100.65,201.3,202.08,67.94,133.36
329548,124191,38121,13000,3,85.56666667,256.7,231.97,127.26,129.44
329548,124191,29062,6000,4,82.875,331.5,299.54,181.59,149.91
329548,124191,63654,17000,2,271.93,543.86,491.44,168.18,375.68
329548,124191,37574,11000,4,151.4525,605.81,547.43,372.71,233.1
329548,124191,45880,15000,2,403.31,806.62,728.88,564.11,242.51
329548,124191,61752,16000,2,401.165,802.33,805.39,779.46,22.87
329548,124191,26502,5000,2,493.57,987.14,892.0,533.89,453.25
329548,124191,67550,18000,5,669.824,3349.12,3026.38,1762.82,1586.3
329560,124262,34462,1000,6,42.67666667,256.06,277.4,132.72,123.34
329346,122779,61685,1000,3564,20.71804714,73839.12,3076.6332,45015.46,28823.66
329348,123411,61801,1000,2,247.69,495.38,20.64,0.0,495.38
329350,122725,62960,1000,3,282.76,848.28,35.34,255.09,593.19
329351,122885,31400,1000,648,34.00501543,22035.25,918.1412,16718.08,5317.17
329352,122914,37559,1000,1000,0.37718,377.18,15.72,340.1,37.08
329354,121659,25300,1000,24,102.1295833,2451.11,2334.73,1342.48,1108.63
329355,121655,63080,18000,160,257.4048125,41184.77,48942.958,21347.78,19836.99
329358,122028,63130,130000,3,113.08,339.24,347.76,405.43,-66.19
329363,122244,37880,149000,5,102.304,511.52,524.38,299.02,212.5
329363,122244,39116,177000,12,415.7933333,4989.52,5114.96,3768.61,1220.91
329364,122476,38076,14000,1,288.22,288.22,260.44,115.63,172.59
329366,122746,15640,26000,6,85.87166667,515.23,465.59,123.59,391.64
329366,122746,38786,52000,6,120.225,721.35,724.11,280.28,441.07
329367,122851,38076,1000,1,273.05,273.05,275.61,115.63,157.42
329370,123190,38076,6000,14,283.6514286,3971.12,3432.5532,1618.8,2352.32
329376,123532,38007,1000,1,635.33,635.33,467.67,422.28,213.05
329379,123733,20910,3000,50,426.4896,21324.48,18432.465,12743.66,8580.82
329380,123745,36941,43000,2,138.78,277.56,250.8,145.28,132.28
329380,123745,34977,40001,3,107.8833333,323.65,292.46,157.45,166.2
329380,123745,38844,33001,8,99.42625,795.41,718.75,423.25,372.16
329381,123849,32966,3000,4,78.9275,315.71,272.89,227.15,88.56
329381,123849,604700,22000,2,294.495,588.99,561.01,406.27,182.72
329382,123934,28401,2000,4,534.4025,2137.61,1728.15,1089.1,1048.51
329382,123934,27550,1000,4,599.745,2398.98,1939.46,1186.19,1212.79
329383,123977,29394,3000,7,64.68714286,452.81,409.17,320.28,132.53
329383,123977,25300,4001,6,104.7516667,628.51,567.95,335.62,292.89
329383,123977,39637,2000,7,123.5014286,864.51,781.19,526.94,337.57
329383,123977,28401,1000,7,507.6828571,3553.78,3211.3,1905.92,1647.86
329386,123987,38061,3000,1,209.18,209.18,169.11,77.66,131.52
329386,123987,38051,2000,1,319.32,319.32,258.14,213.26,106.06
329386,123987,28401,1000,1,534.4,534.4,432.04,272.27,262.13
329386,123987,67550,5000,1,705.08,705.08,570.02,352.56,352.52
329388,124003,60900,2000,1,344.86,344.86,278.81,140.82,204.04
329390,124006,37609,11000,1,263.54,263.54,222.78,145.57,117.97
329390,124006,39972,12000,3,120.4966667,361.49,305.59,159.42,202.07
329390,124006,37606,9000,2,221.375,442.75,374.29,230.28,212.47
329390,124006,20910,14000,1,447.04,447.04,377.92,254.87,192.17
329390,124006,27550,3000,1,587.75,587.75,496.86,296.55,291.2
329390,124006,48500,24000,1,614.93,614.93,519.84,320.76,294.17
329391,124015,25300,8000,2,104.75,209.5,189.32,111.87,97.63
329391,124015,38808,34000,2,101.285,202.57,203.35,131.46,71.11
329391,124015,37134,22000,1,250.36,250.36,226.23,139.54,110.82
329391,124015,62672,48000,2,117.275,234.55,235.45,80.83,153.72
329391,124015,39681,39000,1,294.72,294.72,266.32,196.28,98.44
329391,124015,60760,42000,3,103.5566667,310.67,280.72,113.4,197.27
329391,124015,26361,10000,2,230.98,461.96,417.44,269.34,192.62
329391,124015,60900,43000,2,327.62,655.24,592.1,281.65,373.59
329391,124015,37441,24000,2,658.845,1317.69,1190.6898,677.0,640.69
329391,124015,20990,5000,50,53.0566,2652.83,2397.17,1467.83,1185.0
329391,124015,67550,50000,5,669.824,3349.12,3026.38,1762.82,1586.3
329393,124020,29460,11000,1,202.68,202.68,183.16,97.88,104.8
329393,124020,30490,35000,1,214.35,214.35,193.69,144.21,70.14
329393,124020,37606,20000,1,214.6,214.6,193.92,115.14,99.46
329393,124020,5742,2000,4,60.5725,242.29,218.95,77.54,164.75
329393,124020,63003,33000,2,131.33,262.66,237.34,136.8,125.86
329393,124020,39850,25000,1,221.04,221.04,246.49,205.72,15.32
329393,124020,39185,22000,2,138.235,276.47,249.83,180.9,95.57
329393,124020,37132,16000,2,173.29,346.58,347.9,245.58,101.0
