Custkey,DateKey,Discount Amount,Invoice Date,Invoice Number,Item Class,Item Number,Item,Line Number,List Price,Order Number,Promised Delivery Date,Sales Amount,Sales Amount Based on List Price,Sales Cost Amount,Sales Margin Amount,Sales Price,Sales Quantity,Sales Rep,U/M
10005099,12/31/2019,22.506,2019/12/31,329578,,24790,Fast Lemon Cookies,1000,14.0679,123287,12/31/2019,540.21,562.716,813.33,-273.12,13.50525,40,185,-
10026606,12/31/2019,15.72,2019/12/31,329580,,37559,Walrus Chardonnay,1000,0.3929,123307,12/31/2019,377.18,392.9,340.1,37.08,0.37718,1000,114,EA
10021996,12/31/2019,290.1766,2019/12/31,329581,,62858,Fast Frosted Cookies,24000,297.4133,123916,12/31/2019,304.65,594.8266,170.24,134.41,152.325,2,181,EA
10021996,12/31/2019,376.44,2019/12/31,329581,P01,38842,Ebony Lemons,14000,192.91,123916,12/31/2019,395.2,771.64,214.29,180.91,98.8,4,181,EA
10021996,12/31/2019,936.8,2019/12/31,329581,P01,465052,Club String Cheese,4000,960.15,123916,12/31/2019,983.5,1920.3,600.54,382.96,491.75,2,181,EA
10021996,12/31/2019,1086.18,2019/12/31,329581,P01,29260,Monarch Ravioli,7000,556.63,123916,12/31/2019,1140.34,2226.52,665.19,475.15,285.085,4,181,EA
10021996,12/31/2019,1273.49,2019/12/31,329581,,239782,BBB Best Strawberry Preserves,2000,472.36,123916,12/31/2019,1088.31,2361.8,593.55,494.76,217.662,5,181,EA
10021996,12/31/2019,1294.78,2019/12/31,329581,P01,30285,Even Better Chocolate Milk,1000,1327.05,123916,12/31/2019,1359.32,2654.1,941.54,417.78,679.66,2,181,EA
10023793,12/31/2019,917.52,2019/12/31,329584,P01,28401,Ebony Prepared Salad,2000,966.44,124264,12/31/2019,1015.36,1932.88,544.55,470.81,507.68,2,115,EA
10023793,12/31/2019,2662.45,2019/12/31,329584,P01,20990,Moms Sliced Ham,1000,101,124264,12/31/2019,2387.55,5050,1467.83,919.72,47.751,50,115,EA
10019194,12/31/2019,495.08,2019/12/31,329585,P01,39529,Fabulous Diet Soda,49000,247.07,121758,12/31/2019,493.2,988.28,341.41,151.79,123.3,4,108,EA
10017036,12/31/2019,409.4144,2019/12/31,329586,P01,62770,Fast Buttered Popcorn,1000,249.2148,121826,12/31/2019,338.23,747.6444,228.87,109.36,112.7433333,3,117,EA
10023511,12/31/2019,262.04,2019/12/31,329587,P01,63654,American Pimento Loaf,60000,517.65,121870,12/31/2019,255.61,517.65,84.09,171.52,255.61,1,136,EA
10020515,12/31/2019,256.6,2019/12/31,329588,P01,63654,American Pimento Loaf,115000,517.65,121906,12/31/2019,261.05,517.65,84.09,176.96,261.05,1,143,EA
10020515,12/31/2019,269.26,2019/12/31,329590,P01,26769,Cutting Edge Cole Slaw,20000,135.8,122204,12/31/2019,273.94,543.2,158.9,115.04,68.485,4,143,EA
10019812,12/31/2019,245.72,2019/12/31,329594,P01,63654,American Pimento Loaf,103000,517.65,122310,12/31/2019,271.93,517.65,84.09,187.84,271.93,1,113,EA
10022732,12/31/2019,224.66,2019/12/31,329598,P01,29091,Nationeel Beef Jerky,23000,157.76,122516,12/31/2019,248.62,473.28,177.97,70.65,82.87333333,3,130,SE
10005688,12/31/2019,699.4,2019/12/31,329601,P01,30289,Even Better Strawberry Yogurt,1000,1490.76,122701,12/31/2019,791.36,1490.76,546.44,244.92,791.36,1,107,EA
10022450,12/31/2019,359.5463,2019/12/31,329605,P01,61484,Super Creamy Peanut Butter,29000,50.5051,123243,12/17/2019,297.02,656.5663,198.16,98.86,22.84769231,13,167,EA
10013080,12/31/2019,182.13,2019/12/31,329609,P01,26769,Cutting Edge Cole Slaw,3000,135.8,123784,12/31/2019,225.27,407.4,119.18,106.09,75.09,3,180,EA
10019812,12/31/2019,216.61,2019/12/31,329613,P01,38816,Ebony Squash,62000,144.13,123870,12/31/2019,215.78,432.39,157.77,58.01,71.92666667,3,113,EA
10022450,12/31/2019,608.67,2019/12/31,329615,P01,15236,Great Muffins,2000,37.05,123898,12/31/2019,502.83,1111.5,134.1,368.73,16.761,30,167,EA
10022450,12/31/2019,1631.87,2019/12/31,329615,P01,62616,Tell Tale Limes,11000,298,123898,12/31/2019,1348.13,2980,953.46,394.67,134.813,10,167,EA
10012422,12/31/2019,184.19,2019/12/31,329616,P01,36001,Big Time Frozen Cheese Pizza,12000,412.03,123904,12/31/2019,227.84,412.03,84.23,143.61,227.84,1,139,EA
10012422,12/31/2019,196.56,2019/12/31,329616,P01,26361,Bravo Canned Yams,9000,439.7,123904,12/31/2019,243.14,439.7,134.67,108.47,243.14,1,139,EA
10012422,12/31/2019,486.66,2019/12/31,329616,P01,29071,Nationeel Salted Pretzels,10000,181.44,123904,12/31/2019,601.98,1088.64,179.18,422.8,100.33,6,139,SE
10012422,12/31/2019,1031.81,2019/12/31,329616,P01,11690,High Top Dried Mushrooms,3000,192.34,123904,12/31/2019,1276.27,2308.08,400.65,875.62,106.3558333,12,139,SE
10012422,12/31/2019,2536.8,2019/12/31,329616,P01,20990,Moms Sliced Ham,6000,101,123904,12/31/2019,2513.2,5050,1467.83,1045.37,50.264,50,139,SE
10022687,12/31/2019,174.86,2019/12/31,329617,P01,37170,Fast BBQ Potato Chips,22000,190.85,123933,12/31/2019,206.84,381.7,85.26,121.58,103.42,2,113,EA
10022687,12/31/2019,232.6,2019/12/31,329617,P01,29255,Thresher Spicy Mints,19000,507.75,123933,12/31/2019,275.15,507.75,162.89,112.26,275.15,1,113,EA
10022687,12/31/2019,377.92,2019/12/31,329617,P01,20910,Moms Sliced Turkey,12000,824.96,123933,12/31/2019,447.04,824.96,254.87,192.17,447.04,1,113,EA
10022687,12/31/2019,442.72,2019/12/31,329617,P01,28401,Ebony Prepared Salad,16000,966.44,123933,12/31/2019,523.72,966.44,272.27,251.45,523.72,1,113,EA
10022687,12/31/2019,484.9801,2019/12/31,329617,P01,28500,Ebony Squash,33000,1058.6801,123933,12/31/2019,573.7,1058.6801,303.54,270.16,573.7,1,113,EA
10022687,12/31/2019,496.86,2019/12/31,329617,P01,27550,Imagine Popsicles,14000,1084.61,123933,12/31/2019,587.75,1084.61,296.55,291.2,587.75,1,113,EA
10022687,12/31/2019,655.65,2019/12/31,329617,P01,17801,Better Fancy Canned Sardines,11000,1431.23,123933,12/31/2019,775.58,1431.23,449.69,325.89,775.58,1,113,EA
10014533,12/31/2019,298.92,2019/12/31,329618,P01,62672,Tell Tale Fancy Plums,10000,235,123961,12/31/2019,406.08,705,121.25,284.83,135.36,3,183,SE
10014533,12/31/2019,340.83,2019/12/31,329618,P01,61744,Carlson Low Fat Sour Cream,9000,803.86,123961,12/31/2019,463.03,803.86,398.76,64.27,463.03,1,183,EA
10023511,12/31/2019,204.76,2019/12/31,329619,P01,13910,Best Choice Golden Raisins,1000,107.84,124027,12/31/2019,226.6,431.36,127.62,98.98,56.65,4,136,EA
10023511,12/31/2019,224.66,2019/12/31,329619,P01,29062,Nationeel Low Fat Popcorn,10000,157.76,124027,12/31/2019,248.62,473.28,136.19,112.43,82.87333333,3,136,EA
10023511,12/31/2019,364.44,2019/12/31,329619,P01,45880,Red Spade Low Fat Bologna,16000,767.75,124027,12/31/2019,403.31,767.75,282.05,121.26,403.31,1,136,EA
10023511,12/31/2019,389.74,2019/12/31,329619,P01,26370,Bravo Canned Tomatos,7000,205.26,124027,12/31/2019,431.3,821.04,230.15,201.15,107.825,4,136,EA
10023511,12/31/2019,1092.1998,2019/12/31,329619,P01,31875,Golden Frozen Chicken Thighs,12000,1150.4399,124027,12/31/2019,1208.68,2300.8798,628.54,580.14,604.34,2,136,EA
10023511,12/31/2019,2318.15,2019/12/31,329619,P01,47801,Red Spade Foot-Long Hot Dogs,17000,1627.84,124027,12/31/2019,2565.37,4883.52,1427.24,1138.13,855.1233333,3,136,EA
10019194,12/31/2019,205.56,2019/12/31,329620,P01,39563,Special Wheat Puffs,172000,101.52,124046,12/31/2019,200.52,406.08,69.98,130.54,50.13,4,108,EA
10019194,12/31/2019,206.23,2019/12/31,329620,P01,26769,Cutting Edge Cole Slaw,76000,135.8,124046,12/31/2019,201.17,407.4,119.18,81.99,67.05666667,3,108,EA
10019194,12/31/2019,228.29,2019/12/31,329620,P01,11310,High Top Garlic,16000,150.33,124046,12/31/2019,222.7,450.99,148.17,74.53,74.23333333,3,108,EA
10019194,12/31/2019,239.58,2019/12/31,329620,P01,61385,Super Sesame Oil,207000,157.76,124046,12/31/2019,233.7,473.28,189.07,44.63,77.9,3,108,SE
10019194,12/31/2019,242.01,2019/12/31,329620,P01,13447,High Top Oranges,19000,119.52,124046,12/31/2019,236.07,478.08,106.64,129.43,59.0175,4,108,EA
10019194,12/31/2019,245.55,2019/12/31,329620,P01,15712,Super Apple Jelly,26000,161.69,124046,12/31/2019,239.52,485.07,66.24,173.28,79.84,3,108,EA
10019194,12/31/2019,247.41,2019/12/31,329620,P01,60863,Best Choice BBQ Potato Chips,200000,25.89,124046,12/31/2019,218.61,466.02,119.76,98.85,12.145,18,108,EA
10019194,12/31/2019,260.59,2019/12/31,329620,P01,28396,Ebony New Potatos,89000,14.3,124046,12/31/2019,254.21,514.8,118.44,135.77,7.061388889,36,108,EA
10019194,12/31/2019,291.07,2019/12/31,329620,P01,62550,Tell Tale Garlic,220000,575,124046,12/31/2019,283.93,575,249.3,34.63,283.93,1,108,EA
10019194,12/31/2019,292.11,2019/12/31,329620,P01,60098,Golden Lime Popsicles,184000,577.06,124046,12/31/2019,284.95,577.06,180.78,104.17,284.95,1,108,EA
10019194,12/31/2019,294.76,2019/12/31,329620,P01,34701,Super Apple Butter,127000,194.1,124046,12/31/2019,287.54,582.3,93.71,193.83,95.84666667,3,108,EA
10019194,12/31/2019,308.66,2019/12/31,329620,P01,37050,Tell Tale Mushrooms,139000,138.89,124046,12/31/2019,246.9,555.56,179.22,67.68,61.725,4,108,PR
10019194,12/31/2019,308.84,2019/12/31,329620,P01,26548,Applause Canned Mixed Fruit,70000,138.97,124046,12/31/2019,247.04,555.88,175.88,71.16,61.76,4,108,PR
10019194,12/31/2019,308.84,2019/12/31,329620,P01,26733,Gorilla 1% Milk,74000,138.97,124046,12/31/2019,247.04,555.88,183.23,63.81,61.76,4,108,PR
10019194,12/31/2019,309.88,2019/12/31,329620,P01,29918,Special Grits,111000,76.52,124046,12/31/2019,302.28,612.16,183.96,118.32,37.785,8,108,EA
10019194,12/31/2019,310.51,2019/12/31,329620,P01,61855,Moms Sliced Ham,211000,122.68,124046,12/31/2019,302.89,613.4,121.25,181.64,60.578,5,108,EA
10019194,12/31/2019,316.38,2019/12/31,329620,,63235,Token Cola,228000,625,124046,12/31/2019,308.62,625,252.06,56.56,308.62,1,108,EA
10019194,12/31/2019,316.75,2019/12/31,329620,P01,27110,Jumbo Small Eggs,78000,125.15,124046,12/31/2019,309,625.75,70.25,238.75,61.8,5,108,EA
10019194,12/31/2019,317.09,2019/12/31,329620,P01,18250,Carlson Low Fat String Cheese,29000,62.64,124046,12/31/2019,309.31,626.4,138.43,170.88,30.931,10,108,EA
10019194,12/31/2019,324.54,2019/12/31,329620,P01,21395,Big Time Frozen Broccoli,36000,213.71,124046,12/31/2019,316.59,641.13,212.82,103.77,105.53,3,108,EA
10019194,12/31/2019,330.62,2019/12/31,329620,P01,26734,Gorilla Whole Milk,75000,148.77,124046,12/31/2019,264.46,595.08,184.39,80.07,66.115,4,108,PR
10019194,12/31/2019,331,2019/12/31,329620,P01,15640,Super Vegetable Oil,25000,163.47,124046,12/31/2019,322.88,653.88,82.39,240.49,80.72,4,108,EA
10019194,12/31/2019,334.06,2019/12/31,329620,P01,30211,Even Better Low Fat Sour Cream,116000,200.43,124046,12/31/2019,267.23,601.29,174.58,92.65,89.07666667,3,108,PR
10019194,12/31/2019,338.07,2019/12/31,329620,P01,37055,Tell Tale Dried Mushrooms,140000,152.12,124046,12/31/2019,270.41,608.48,195.1,75.31,67.6025,4,108,PR
10019194,12/31/2019,379.81,2019/12/31,329620,P01,13917,Best Choice Frosted Donuts,21000,50.02,124046,12/31/2019,370.49,750.3,199.24,171.25,24.69933333,15,108,EA
10019194,12/31/2019,385.04,2019/12/31,329620,P01,26563,Gorilla Low Fat Cottage Cheese,72000,138.61,124046,12/31/2019,308.01,693.05,220.51,87.5,61.602,5,108,PR
10019194,12/31/2019,386.42,2019/12/31,329620,P01,33090,High Top Sweet Onion,125000,190.84,124046,12/31/2019,376.94,763.36,159.22,217.72,94.235,4,108,EA
10019194,12/31/2019,410.49,2019/12/31,329620,P01,30210,Even Better Low Fat Cottage Cheese,115000,184.71,124046,12/31/2019,328.35,738.84,189.47,138.88,82.0875,4,108,PR
10019194,12/31/2019,413.1,2019/12/31,329620,P01,30490,Jeffers Wheat Puffs,117000,408.04,124046,12/31/2019,402.98,816.08,288.43,114.55,201.49,2,108,EA
10019194,12/31/2019,426.76,2019/12/31,329620,P01,61752,Carlson Cheese Spread,236000,803.86,124046,12/31/2019,377.1,803.86,389.73,-12.63,377.1,1,108,EA
10019194,12/31/2019,433.09,2019/12/31,329620,P01,61857,Moms Sliced Chicken,213000,285.19,124046,12/31/2019,422.48,855.57,247.28,175.2,140.8266667,3,108,EA
10019194,12/31/2019,445.75,2019/12/31,329620,P01,22680,Tell Tale Firm Tofu,42000,36.69,124046,12/31/2019,434.81,880.56,212.15,222.66,18.11708333,24,108,EA
10019194,12/31/2019,471.62,2019/12/31,329620,P01,61859,Urban Large Brown Eggs,215000,232.92,124046,12/31/2019,460.06,931.68,275.37,184.69,115.015,4,108,EA
10019194,12/31/2019,473.33,2019/12/31,329620,P01,39190,Nationeel Raisins,170000,187.01,124046,12/31/2019,461.72,935.05,384.18,77.54,92.344,5,108,EA
10019194,12/31/2019,488.45,2019/12/31,329620,P01,61145,Good Imported Beer,206000,321.64,124046,12/31/2019,476.47,964.92,402.36,74.11,158.8233333,3,108,EA
10019194,12/31/2019,506.2,2019/12/31,329620,P01,63004,Walrus Imported Beer,227000,250,124046,12/31/2019,493.8,1000,276.07,217.73,123.45,4,108,EA
10019194,12/31/2019,508.92,2019/12/31,329620,,38772,Ebony Sweet Peas,161000,125.67,124046,12/31/2019,496.44,1005.36,422.13,74.31,62.055,8,108,EA
10019194,12/31/2019,519.5,2019/12/31,329620,P01,39850,Washington Mango Drink,179000,467.53,124046,12/31/2019,415.56,935.06,411.45,4.11,207.78,2,108,SE
10019194,12/31/2019,524.68,2019/12/31,329620,P01,39459,BBB Best Creamy Peanut Butter,234000,247.07,124046,12/31/2019,463.6,988.28,262.93,200.67,115.9,4,108,EA
10019194,12/31/2019,524.68,2019/12/31,329620,P01,39461,BBB Best Strawberry Preserves,235000,247.07,124046,12/31/2019,463.6,988.28,327.73,135.87,115.9,4,108,EA
10019194,12/31/2019,532.84,2019/12/31,329620,P01,39185,Nationeel Grape Fruit Roll,169000,263.15,124046,12/31/2019,519.76,1052.6,361.79,157.97,129.94,4,108,EA
10019194,12/31/2019,532.84,2019/12/31,329620,P01,39680,Even Better String Cheese,176000,263.15,124046,12/31/2019,519.76,1052.6,406.1,113.66,129.94,4,108,EA
10019194,12/31/2019,577.46,2019/12/31,329620,P01,61854,Moms Sliced Turkey,210000,285.19,124046,12/31/2019,563.3,1140.76,331,232.3,140.825,4,108,EA
10019194,12/31/2019,577.46,2019/12/31,329620,P01,61860,Urban Small Eggs,238000,285.19,124046,12/31/2019,563.3,1140.76,317.4,245.9,140.825,4,108,EA
10019194,12/31/2019,595.91,2019/12/31,329620,P01,32966,High Top Golden Delcious Apples,124000,147.15,124046,12/31/2019,581.29,1177.2,454.3,126.99,72.66125,8,108,EA
10019194,12/31/2019,603.94,2019/12/31,329620,P01,13047,High Top Golden Delcious Apples,18001,20.57,124046,12/31/2019,589.12,1193.06,401.78,187.34,10.15724138,58,108,EA
10019194,12/31/2019,631.41,2019/12/31,329620,P01,60900,Best Choice Sugar Cookies,201000,623.67,124046,12/31/2019,615.93,1247.34,281.65,334.28,307.965,2,108,EA
10019194,12/31/2019,655.08,2019/12/31,329620,P01,13910,Best Choice Golden Raisins,20000,107.84,124046,12/31/2019,639,1294.08,382.87,256.13,53.25,12,108,EA
10019194,12/31/2019,707.43,2019/12/31,329620,P01,61856,Moms Potato Salad,212000,232.92,124046,12/31/2019,690.09,1397.52,422.31,267.78,115.015,6,108,EA
10019194,12/31/2019,727.33,2019/12/31,329620,P01,26370,Bravo Canned Tomatos,66000,205.26,124046,12/31/2019,709.49,1436.82,402.76,306.73,101.3557143,7,108,EA
10019194,12/31/2019,734.76,2019/12/31,329620,P01,29070,Nationeel Avocado Dip,100000,181.44,124046,12/31/2019,716.76,1451.52,250.72,466.04,89.595,8,108,SE
10019194,12/31/2019,834.14,2019/12/31,329620,P01,32963,High Top Macintosh Apples,123000,137.32,124046,12/31/2019,813.7,1647.84,635.2,178.5,67.80833333,12,108,EA
10019194,12/31/2019,894.57,2019/12/31,329620,P01,29312,Discover Spaghetti,106000,44.18,124046,12/31/2019,872.63,1767.2,529.12,343.51,21.81575,40,108,EA
10019194,12/31/2019,984.71,2019/12/31,329620,P01,37609,Colony Wheat Bread,148000,486.32,124046,12/31/2019,960.57,1945.28,582.28,378.29,240.1425,4,108,SE
10019194,12/31/2019,987.68,2019/12/31,329620,,62947,Atomic Semi-Sweet Chocolate Bar,222000,325.19,124046,12/31/2019,963.46,1951.14,780.76,182.7,160.5766667,6,108,EA
10019194,12/31/2019,994.73,2019/12/31,329620,P01,39105,Nationeel Salsa Dip,168000,144.13,124046,12/31/2019,878.96,1873.69,683.69,195.27,67.61230769,13,108,EA
10019194,12/31/2019,998.09,2019/12/31,329620,P01,62672,Tell Tale Fancy Plums,221000,235,124046,12/31/2019,881.91,1880,323.33,558.58,110.23875,8,108,SE
10019194,12/31/2019,1002.9,2019/12/31,329620,P01,30092,Just Right Chicken Ramen Soup,112000,283.03,124046,12/31/2019,978.31,1981.21,539.67,438.64,139.7585714,7,108,EA
10019194,12/31/2019,1010.97,2019/12/31,329620,P01,62027,Big Time Home Style French Fries,218000,181.56,124046,12/31/2019,986.19,1997.16,789.56,196.63,89.65363636,11,108,EA
10019194,12/31/2019,1012.41,2019/12/31,329620,P01,63003,Shady Lake Rice Medly,226000,250,124046,12/31/2019,987.59,2000,547.2,440.39,123.44875,8,108,EA
10019194,12/31/2019,1033.98,2019/12/31,329620,P01,37606,Colony Blueberry Muffins,147000,408.52,124046,12/31/2019,1008.62,2042.6,575.7,432.92,201.724,5,108,SE
10019194,12/31/2019,1067.39,2019/12/31,329620,P01,38050,Gorilla Chocolate Milk,151000,301.23,124046,12/31/2019,1041.22,2108.61,754.4,286.82,148.7457143,7,108,EA
10019194,12/31/2019,1090.77,2019/12/31,329620,P01,23162,Tell Tale Macintosh Apples,43000,307.83,124046,12/31/2019,1064.04,2154.81,766.27,297.77,152.0057143,7,108,EA
10019194,12/31/2019,1265.52,2019/12/31,329620,P01,63002,Shady Lake Thai Rice,225000,250,124046,12/31/2019,1234.48,2500,581.85,652.63,123.448,10,108,EA
10019194,12/31/2019,1271.75,2019/12/31,329620,P01,21390,Big Time Ice Cream,35000,104.68,124046,12/31/2019,1240.57,2512.32,635.42,605.15,51.69041667,24,108,EA
10019194,12/31/2019,1293,2019/12/31,329620,P01,38809,Ebony Tomatos,162000,202.96,124046,12/31/2019,1142.52,2435.52,788.78,353.74,95.21,12,108,EA
10019194,12/31/2019,1376.64,2019/12/31,329620,P01,37605,Colony Bagels,146000,339.94,124046,12/31/2019,1342.88,2719.52,436.28,906.6,167.86,8,108,SE
10019194,12/31/2019,1400.9,2019/12/31,329620,P01,5742,Red Spade Beef Bologna,2000,115.31,124046,12/31/2019,1366.54,2767.44,465.24,901.3,56.93916667,24,108,EA
10019194,12/31/2019,1604.95,2019/12/31,329620,P01,30500,Blue Label Canned Beets,118000,634.11,124046,12/31/2019,1565.6,3170.55,1360.28,205.32,313.12,5,108,EA
10019194,12/31/2019,1655.18,2019/12/31,329620,P01,11690,High Top Dried Mushrooms,17000,192.34,124046,12/31/2019,1614.6,3269.78,567.59,1047.01,94.97647059,17,108,SE
10019194,12/31/2019,1916.62,2019/12/31,329620,P01,28761,Ebony Fuji Apples,95000,157.76,124046,12/31/2019,1869.62,3786.24,1145.88,723.74,77.90083333,24,108,SE
10019194,12/31/2019,1916.62,2019/12/31,329620,P01,28771,Ebony Oranges,96000,157.76,124046,12/31/2019,1869.62,3786.24,1280.1,589.52,77.90083333,24,108,SE
10019194,12/31/2019,1932.19,2019/12/31,329620,P01,37170,Fast BBQ Potato Chips,142000,190.85,124046,12/31/2019,1884.81,3817,852.64,1032.17,94.2405,20,108,EA
10019194,12/31/2019,2244.04,2019/12/31,329620,P01,29394,Pearl Chardonnay,107000,123.14,124046,12/31/2019,2189,4433.04,1647.15,541.85,60.80555556,36,108,EA
10019194,12/31/2019,2329.4396,2019/12/31,329620,P01,31875,Golden Frozen Chicken Thighs,120000,1150.4399,124046,12/31/2019,2272.32,4601.7596,1257.08,1015.24,568.08,4,108,EA
10019194,12/31/2019,2756.84,2019/12/31,329620,P01,28751,Ebony Cantelope,94000,113.46,124046,12/31/2019,2689.24,5446.08,1961.05,728.19,56.02583333,48,108,SE
10019194,12/31/2019,2767.37,2019/12/31,329620,P01,601700,Club Cheese Spread,232000,218.18,124046,12/31/2019,2468.95,5236.32,1437.61,1031.34,102.8729167,24,108,EA
10019194,12/31/2019,2817.7,2019/12/31,329620,P01,29260,Monarch Ravioli,105001,556.63,124046,12/31/2019,2748.6,5566.3,1662.97,1085.63,274.86,10,108,EA
10019194,12/31/2019,3084.32,2019/12/31,329620,P01,29255,Thresher Spicy Mints,104000,507.75,124046,12/31/2019,3008.68,6093,1954.71,1053.97,250.7233333,12,108,EA
10019194,12/31/2019,3886.4,2019/12/31,329620,P01,45880,Red Spade Low Fat Bologna,182000,767.75,124046,12/31/2019,3791.1,7677.5,2820.53,970.57,379.11,10,108,EA
10019194,12/31/2019,3999.03,2019/12/31,329620,P01,63600,Gorilla Cheese Spread,237000,1975,124046,12/31/2019,3900.97,7900,2059.09,1841.88,975.2425,4,108,EA
10019194,12/31/2019,4249.82,2019/12/31,329620,,63253,Token Apple Drink,229000,349.81,124046,12/31/2019,4145.62,8395.44,2399.6,1746.02,172.7341667,24,108,EA
10019194,12/31/2019,5510.77,2019/12/31,329620,P01,29071,Nationeel Salted Pretzels,101000,181.44,124046,12/31/2019,5375.63,10886.4,1791.84,3583.79,89.59383333,60,108,SE
10019194,12/31/2019,6774.87,2019/12/31,329620,P01,38826,Ebony Macintosh Apples,163000,223.06,124046,12/31/2019,6608.73,13383.6,2227,4381.73,110.1455,60,108,SE
10019194,12/31/2019,7293.24,2019/12/31,329620,P01,604700,Club Sharp Cheddar Cheese,233000,575,124046,12/31/2019,6506.76,13800,4875.21,1631.55,271.115,24,108,EA
10019194,12/31/2019,9512.33,2019/12/31,329620,P01,26502,Bravo Large Canned Shrimp,68000,939.57,124046,12/31/2019,9279.07,18791.4,5338.89,3940.18,463.9535,20,108,EA
10019194,12/31/2019,9646.4018,2019/12/31,329620,P01,28500,Ebony Squash,92000,1058.6801,124046,12/31/2019,9409.84,19056.2418,5463.68,3946.16,522.7688889,18,108,EA
10019194,12/31/2019,9888.28,2019/12/31,329620,P01,47801,Red Spade Foot-Long Hot Dogs,183000,1627.84,124046,12/31/2019,9645.8,19534.08,5708.98,3936.82,803.8166667,12,108,EA
10019194,12/31/2019,12528.01,2019/12/31,329620,P01,20910,Moms Sliced Turkey,32000,824.96,124046,12/31/2019,12220.79,24748.8,7646.19,4574.6,407.3596667,30,108,EA
10019194,12/31/2019,17611.86,2019/12/31,329620,P01,28401,Ebony Prepared Salad,90000,966.44,124046,12/31/2019,17179.98,34791.84,9801.88,7378.1,477.2216667,36,108,EA
10019194,12/31/2019,20450.78,2019/12/31,329620,P01,20990,Moms Sliced Ham,33000,101,124046,12/31/2019,19949.22,40400,11742.64,8206.58,49.87305,400,108,SE
10019194,12/31/2019,23059.54,2019/12/31,329620,P01,27550,Imagine Popsicles,79000,1084.61,124046,12/31/2019,22494.08,45553.62,12454.94,10039.14,535.5733333,42,108,EA
10019194,12/31/2019,34775.91,2019/12/31,329620,P01,17801,Better Fancy Canned Sardines,28000,1431.23,124046,12/31/2019,33923.13,68699.04,21585.21,12337.92,706.731875,48,108,EA
10019194,12/31/2019,51637.14,2019/12/31,329620,P01,67550,Discover Manicotti,240000,1275.1,124046,12/31/2019,50370.86,102008,28205.13,22165.73,629.63575,80,108,EA
10021283,12/31/2019,340.83,2019/12/31,329638,P01,61750,Carlson Havarti Cheese,2000,803.86,124184,12/31/2019,463.03,803.86,363.01,100.02,463.03,1,168,EA
10023511,12/31/2019,196.99,2019/12/31,329641,P01,37673,Landslide French Roast Coffee,13000,207.5,124192,12/31/2019,218.01,415,88.14,129.87,109.005,2,136,EA
10023511,12/31/2019,271.78,2019/12/31,329641,P01,37170,Fast BBQ Potato Chips,10000,190.85,124192,12/31/2019,300.77,572.55,127.9,172.87,100.2566667,3,136,EA
